Nome: MANICORE
Codigo Estacao: A133
Latitude: -5.7886111
Longitude: -61.28833333
Altitude: 40.64
Situacao: Operante
Data Inicial: 2011-12-11
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-12-31;null;null;null;26,3;null;null;
2012-01-31;null;428,8;null;25,7;null;null;
2012-02-29;null;381,6;null;25,5;null;null;
2012-03-31;null;373,8;null;25,7;null;null;
2012-04-30;null;371,8;null;26,3;null;null;
2012-05-31;null;239;null;26,4;null;null;
2012-06-30;null;149,8;null;26,4;null;null;
2012-07-31;null;19,2;null;26,6;null;null;
2012-08-31;null;16,6;null;27,2;null;null;
2012-09-30;null;78;null;27,8;null;null;
2012-10-31;null;253,4;null;27,4;null;null;
2012-11-30;null;215,2;null;27,3;null;null;
2012-12-31;null;330,4;null;26,4;null;null;
2013-01-31;null;343,8;null;26,6;null;null;
2013-02-28;null;316,6;null;26,1;null;null;
2013-03-31;null;315;null;26,7;null;null;
2013-04-30;null;379;null;26,7;null;null;
2013-05-31;null;222,4;null;26,7;null;null;
2013-06-30;null;71;null;26,9;null;null;
2013-07-31;null;null;null;26,2;null;null;
2013-08-31;null;40,6;null;26,9;3,9;null;
2013-09-30;null;132,8;null;26,6;null;null;
2013-10-31;null;151;null;27;null;null;
2013-11-30;null;null;null;25,9;null;null;
2013-12-31;null;null;null;26,2;null;null;
2014-01-31;null;379;null;25,8;null;null;
2014-02-28;null;375,6;null;25,5;null;null;
2014-03-31;null;null;null;25,9;null;null;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;null;91,2;null;27,4;4,1;null;
2014-10-31;null;178,8;null;26,4;4,9;null;
2014-11-30;null;421,2;null;26,7;3,7;null;
2014-12-31;null;244;null;26,6;5,9;null;
2015-01-31;null;290,4;null;25,7;6;null;
2015-02-28;null;456;null;26,1;4,7;null;
2015-03-31;null;257,6;null;26,3;4,9;null;
2015-04-30;null;207,8;null;26,6;4,5;null;
2015-05-31;null;235,4;null;26,4;5,3;null;
2015-06-30;null;131;null;26,7;3,6;null;
2015-07-31;null;114,4;null;26,8;5;null;
2015-08-31;null;4,8;null;28,8;4,2;null;
2015-09-30;null;57,2;null;29,3;4,9;null;
2015-10-31;null;150,2;null;27,9;5,2;null;
2015-11-30;null;143,2;null;27,6;5,3;null;
2015-12-31;null;142,2;null;27;5,9;null;
2016-01-31;null;240,6;null;27,3;5,1;null;
2016-02-29;null;247,6;null;27,1;5,5;null;
2016-03-31;null;397,6;null;26,8;6,1;null;
2016-04-30;null;348,6;null;26,9;4,2;null;
2016-05-31;null;155,6;null;27,1;4,3;null;
2016-06-30;null;72,4;null;26,8;3,7;null;
2016-07-31;null;6;null;27,7;4;null;
2016-08-31;null;45;null;28;6,3;null;
2016-09-30;null;225,4;null;26,8;5,3;null;
2016-10-31;null;139,6;null;27,4;6,2;null;
2016-11-30;null;347,6;null;27;6,4;null;
2016-12-31;null;382,8;null;26;6,4;null;
2017-01-31;null;216,6;null;25,8;5;null;
2017-02-28;null;544;null;25,7;6,2;null;
2017-03-31;null;1295;null;26,3;null;null;
2017-04-30;null;192,8;null;26,3;null;null;
2017-05-31;null;123,6;null;26,8;4,2;null;
2017-06-30;null;80,2;null;26,7;4,3;null;
2017-07-31;null;4,4;null;26,6;4,2;null;
2017-08-31;null;null;null;28,2;5,6;null;
2017-09-30;null;null;null;26,9;4,4;null;
2017-10-31;null;null;null;27;null;null;
2017-11-30;null;null;null;26,7;null;null;
2017-12-31;null;null;null;26,2;null;null;
2018-01-31;null;null;null;25,9;null;null;
2018-02-28;null;null;null;25,6;null;null;
2018-03-31;null;null;null;26,4;null;null;
2018-04-30;null;null;null;25,7;null;null;
2018-05-31;null;null;null;26,2;null;null;
2018-06-30;null;1,8;null;26,4;null;null;
2018-07-31;null;1,2;null;26,8;null;null;
2018-08-31;null;7,4;null;26,4;null;null;
2018-09-30;null;null;null;27,6;null;null;
2018-10-31;null;null;null;28,1;null;null;
2018-11-30;null;null;null;26,9;null;null;
2018-12-31;null;null;null;26;null;null;
2019-01-31;null;null;null;26,1;null;null;
2019-02-28;null;null;null;26;null;null;
2019-03-31;null;null;null;26,7;null;null;
2019-04-30;null;null;null;26,7;null;null;
2019-05-31;null;null;null;26,7;null;null;
2019-06-30;null;null;null;27;null;null;
2019-07-31;null;null;null;27;3,5;null;
2019-08-31;null;59;null;26,9;7;null;
2019-09-30;null;91,6;null;27,7;5;null;
2019-10-31;null;206,4;null;26,6;6,8;null;
2019-11-30;null;null;null;27,2;5,4;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
