Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2017-02-06
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;10;null;null;21,4;6,9;null;
2017-03-31;12;136;898,4;22,6;null;null;
2017-04-30;5;9,8;899,3;22,4;null;null;
2017-05-31;6;17,4;900,3;20,8;6,4;2,1;
2017-06-30;null;0;901,9;19,7;8,5;2,6;
2017-07-31;0;0;904,4;17,2;8,5;3,3;
2017-08-31;null;0;900,8;21,7;8,1;2,5;
2017-09-30;1;9,2;901,5;21,2;7,4;3;
2017-10-31;6;35,2;898,1;24,6;7,3;2,8;
2017-11-30;24;304,2;897;21,9;7,6;2,5;
2017-12-31;25;306,8;897,1;21,8;5,6;1,9;
2018-01-31;14;109,6;898;22,1;6,6;2;
2018-02-28;15;274,6;897,5;21,8;6,8;2;
2018-03-31;18;98;898;22,4;6,4;1,9;
2018-04-30;12;102;900,1;20,6;7,2;2,4;
2018-05-31;1;6;901,3;19,7;6;2,3;
2018-06-30;null;0;902,2;19,7;6,4;2,1;
2018-07-31;0;0;902,1;19,6;7,7;2,2;
2018-08-31;4;10;901,5;21,9;8,1;2,3;
2018-09-30;4;78,8;898,6;23,5;6;2,3;
2018-10-31;14;141,6;897,8;23,5;6,6;2,2;
2018-11-30;19;null;897,7;21,3;6,6;2,2;
2018-12-31;17;208,8;898,6;22,2;6,2;1,9;
2019-01-31;11;71,6;899,8;23,2;7,4;2,1;
2019-02-28;20;170;898,4;22,7;7,2;1,8;
2019-03-31;20;256,4;899,2;22,2;6,4;2,2;
2019-04-30;12;128,8;899,2;22,2;5,8;1,7;
2019-05-31;3;15,2;900;21,5;5;1,9;
2019-06-30;1;,4;902,7;19,3;7,2;2,5;
2019-07-31;0;0;902,3;19,1;6,7;2,4;
2019-08-31;null;0;902,8;21,3;8,2;2,7;
2019-09-30;3;3,2;899,9;24,5;7,7;2,6;
2019-10-31;11;98,2;898;24,7;6,5;2,4;
2019-11-30;17;142,8;897;23,4;7,3;2,2;
2019-12-31;16;302,2;897,7;22,9;6,6;2,2;
2020-01-31;23;480,4;897,6;22,7;7,7;1,8;
2020-02-29;22;512,6;898,8;22,1;5,8;1,9;
2020-03-31;16;null;898,4;22;5,7;2,2;
2020-04-30;11;272,8;900;21,6;5,8;2,3;
2020-05-31;5;31,6;901,3;19,4;6;2;
2020-06-30;0;0;902;19,2;8,4;2,4;
2020-07-31;0;0;901,8;19,2;7,9;2,5;
2020-08-31;0;0;901,4;20,1;8,3;2,9;
2020-09-30;2;20;900,2;23,5;7,4;2,5;
2020-10-31;15;117,8;897,9;24,1;7,7;2,5;
2020-11-30;15;139;897,9;21,9;6,4;2,3;
2020-12-31;14;250;897,7;22,8;6,6;1,9;
2021-01-31;10;null;897,9;22,7;6,8;2,1;
2021-02-28;23;615,8;897;21,4;6,5;1,8;
2021-03-31;12;106,8;898,5;22,1;6,4;2,1;
2021-04-30;10;93,8;899;21,2;6,9;2,1;
2021-05-31;3;4,8;900,8;20,7;6,1;1,9;
2021-06-30;2;8,4;901,4;19,9;7,4;2,2;
2021-07-31;0;0;902,7;18,9;7,2;2,3;
2021-08-31;0;0;901,7;20,7;8,3;2,8;
