Nome: MOELA
Codigo Estacao: A745
Latitude: -24.047845
Longitude: -46.26334
Altitude: 32.47
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2017-05-17
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;16,5;null;
2010-02-28;3;null;null;29,4;12;null;
2010-03-31;5;null;null;26,5;14,6;null;
2010-04-30;4;null;null;null;12,3;null;
2010-05-31;5;null;null;22,5;14,5;null;
2010-06-30;4;null;null;21;15;null;
2010-07-31;6;null;null;21,1;13,4;null;
2010-08-31;5;null;null;null;16;null;
2010-09-30;1;null;null;null;16,1;null;
2010-10-31;1;null;null;null;15,8;null;
2010-11-30;7;null;null;23,7;19,8;null;
2010-12-31;19;254,4;1004,5;24,9;14,9;2,5;
2011-01-31;18;183,2;1004,4;26,8;13,3;2,2;
2011-02-28;11;null;1006,4;27,5;15,3;2,1;
2011-03-31;5;null;null;null;16;null;
2011-04-30;1;null;null;null;12;null;
2011-05-31;1;null;null;null;15,8;null;
2011-06-30;1;null;null;null;11,2;null;
2011-07-31;null;null;null;null;13,6;null;
2011-08-31;null;null;null;null;13,8;null;
2011-09-30;null;null;null;null;15,4;null;
2011-10-31;null;null;null;null;11,2;null;
2011-11-30;7;null;null;null;null;null;
2011-12-31;null;null;null;null;null;null;
2012-01-31;null;null;null;null;null;null;
2012-02-29;4;null;null;26,5;null;null;
2012-03-31;13;109,2;1009;24,5;null;null;
2012-04-30;14;214,4;1008,9;24,4;null;null;
2012-05-31;15;85,8;1013,1;22,3;null;null;
2012-06-30;4;null;null;null;null;null;
2012-07-31;4;null;1013;20,3;null;null;
2012-08-31;null;null;1016,9;20,6;null;null;
2012-09-30;null;null;1012,7;21,8;null;null;
2012-10-31;null;null;1009;22,8;null;null;
2012-11-30;null;null;1007,9;22,8;null;null;
2012-12-31;null;null;1005,6;27;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;1007;28,1;null;null;
2013-03-31;null;null;null;null;null;null;
2013-04-30;null;null;null;null;null;null;
2013-05-31;null;null;null;null;null;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;null;null;null;null;
2013-09-30;12;null;null;20,1;null;null;
2013-10-31;19;132;1010,9;21,5;null;null;
2013-11-30;14;169,8;1008,4;23;null;null;
2013-12-31;15;59,6;1005,4;25,4;null;null;
2014-01-31;12;171;1007,9;28;null;null;
2014-02-28;null;null;1007,5;27,2;null;null;
2014-03-31;null;null;1008,7;25,9;null;null;
2014-04-30;null;null;1010,8;24;null;null;
2014-05-31;null;null;1011,7;22,2;null;null;
2014-06-30;null;null;1013,1;21;null;null;
2014-07-31;null;null;1016,5;19,9;null;null;
2014-08-31;null;null;1014,5;20,5;null;null;
2014-09-30;null;null;1011,5;21,6;null;null;
2014-10-31;null;null;1011,7;22,5;null;null;
2014-11-30;null;null;1008,3;23,9;null;null;
2014-12-31;null;null;1007,9;24,7;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;

