Nome: TRES RIOS
Codigo Estacao: A625
Latitude: -22.09833333
Longitude: -43.20833333
Altitude: 295
Situacao: Operante
Data Inicial: 2016-06-07
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;null;null;16,5;3,4;null;
2016-07-31;1;,8;984,9;18,4;4,2;,9;
2016-08-31;5;13,8;983,5;20,1;6,6;1,1;
2016-09-30;9;63,4;982,6;21,8;5,6;1,2;
2016-10-31;18;74,2;980,1;23,1;5,5;1,2;
2016-11-30;20;320;978,7;23,3;5,2;1,1;
2016-12-31;15;270,6;978,2;25;6,1;,9;
2017-01-31;14;230,6;978,4;26,1;4,8;,9;
2017-02-28;11;118,6;979,2;25,1;5,2;,8;
2017-03-31;11;122,4;979,6;24,1;4,3;1;
2017-04-30;10;29,6;981,5;22,4;4,5;,9;
2017-05-31;9;62,6;982,8;19,6;3,7;,8;
2017-06-30;12;19;985;18,9;4,4;,7;
2017-07-31;3;,6;990;17,5;3,9;,8;
2017-08-31;5;22,6;984,6;18,7;4,6;1;
2017-09-30;1;1,4;985,3;21,7;3,5;1;
2017-10-31;12;94,4;979,9;24,4;5,6;1,2;
2017-11-30;12;118,8;978,3;23,4;5,5;1,2;
2017-12-31;18;125;977,3;25,2;5,7;1;
2018-01-31;21;226,6;978;25,2;4,4;,9;
2018-02-28;17;176,2;978;24,7;4,2;,9;
2018-03-31;19;170,6;977,8;25,2;3,7;,8;
2018-04-30;7;73,8;982,4;22,5;2,9;,6;
2018-05-31;5;30,8;983,9;20;3,7;,7;
2018-06-30;5;14,8;984,7;19,4;3,6;,7;
2018-07-31;2;19,2;984,7;18,6;4,2;,7;
2018-08-31;7;72;984,9;19,2;4,4;,9;
2018-09-30;9;142;980,9;21,7;4,4;1;
2018-10-31;14;45,6;979,5;23,1;4,7;1,1;
2018-11-30;21;174,6;979,8;23,4;5,5;,9;
2018-12-31;11;59,2;978,6;25,2;5,3;,9;
2019-01-31;9;20,4;979,8;27,2;3,9;,9;
2019-02-28;17;284,6;978;25,6;6,2;,9;
2019-03-31;17;60;980;25;3,7;,8;
2019-04-30;10;34,2;979,6;23,8;4,2;,7;
2019-05-31;5;22,6;981;22;3;,7;
2019-06-30;3;21,8;985,6;19,9;4,5;,7;
2019-07-31;6;8,4;985,3;17,5;4,8;,8;
2019-08-31;7;12;987;19,5;4,5;1;
2019-09-30;7;80,4;982,7;22,5;5,6;null;
2019-10-31;8;68,8;980,2;24,1;5,3;1,1;
2019-11-30;16;106;978,5;24;5,1;1,1;
2019-12-31;16;314,6;978,5;24,6;4,5;,9;
2020-01-31;24;255,2;977;24,9;5,3;,9;
2020-02-29;20;276,2;979;24,5;3,8;,8;
2020-03-31;17;199,2;980,3;23,6;3,4;,8;
2020-04-30;8;68,8;982;21,7;3,3;,8;
2020-05-31;13;39,6;983,3;18,5;4,6;,8;
2020-06-30;12;8,8;984,4;19,2;4;,7;
2020-07-31;4;7,2;984,5;19,3;3,7;,7;
2020-08-31;4;15,6;985,3;19,4;4,4;,9;
2020-09-30;3;40,4;982,2;23,7;3,6;,9;
2020-10-31;10;45;979,3;24,3;4,1;1,2;
2020-11-30;14;313,8;979,4;23,6;6;1,1;
2020-12-31;21;346,4;977,8;24,9;3,3;,8;
2021-01-31;13;269,2;978,3;25,9;3,6;,8;
2021-02-28;20;312;977,2;24,6;3,8;,7;
2021-03-31;14;90,6;978,5;24,9;4,4;,7;
2021-04-30;10;39,6;981;21,6;4,9;,9;
2021-05-31;7;10,8;982,5;20,3;3,7;,7;
2021-06-30;8;40,2;984,1;18,4;4,1;,7;
2021-07-31;4;2,6;986,4;16,3;3,9;,8;
2021-08-31;3;20,8;985,5;19,5;4;,8;
2021-09-30;5;33,2;981,6;23,2;5,3;1,1;
2021-10-31;4;null;null;null;6,8;null;
2021-11-30;13;197,6;978;22,7;4,8;1,2;
2021-12-31;21;317,4;977;23,8;3,6;,9;
2022-01-31;18;288,8;977,6;25,4;3,4;,8;
