Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;null;null;null;null;null;null;
2016-07-31;0;0;962,5;23,2;null;null;
2016-08-31;2;2,2;961,2;24,9;null;null;
2016-09-30;0;0;959,9;27;null;null;
2016-10-31;9;66,2;957,5;28,5;null;null;
2016-11-30;8;212,4;957,1;26,5;null;null;
2016-12-31;9;131,2;957,6;25,5;null;null;
2017-01-31;4;20;957,3;27,3;null;null;
2017-02-28;11;null;958,1;25,4;null;null;
2017-03-31;10;96,2;957,7;25,9;6,9;1,7;
2017-04-30;1;1,8;958,8;26,3;6,1;1,8;
2017-05-31;5;21,6;960,2;25;5,5;1,8;
2017-06-30;null;0;962,1;23,8;7,1;2,1;
2017-07-31;1;,2;965,9;22;6,7;2,8;
2017-08-31;null;0;961,5;23,7;6,6;2,3;
2017-09-30;null;null;962,3;25,2;7,7;2,8;
2017-10-31;1;null;null;null;7;null;
2017-11-30;7;null;null;26,2;8,5;null;
2017-12-31;16;249,2;956,8;24,9;7,3;1,5;
2018-01-31;9;59,8;957,5;26;5,6;1,7;
2018-02-28;14;379;957,3;24,6;5,5;1,6;
2018-03-31;8;118,2;957,5;25,3;4,9;1,6;
2018-04-30;7;10,6;960;24,1;5,6;1,6;
2018-05-31;0;0;961,4;22,9;5,2;1,7;
2018-06-30;null;0;962,6;22,1;5,4;1,7;
2018-07-31;0;0;962,7;21,4;5,9;1,8;
2018-08-31;1;,2;961,6;24,7;6,5;2;
2018-09-30;2;10,6;958,4;26,2;6,4;2,2;
2018-10-31;8;33,4;957,1;28,1;7,4;2,2;
2018-11-30;14;140,2;957,7;25,1;6,6;1,9;
2018-12-31;16;133,6;958,5;24,5;8,2;1,7;
2019-01-31;5;54,8;959,1;26,8;6,2;2;
2019-02-28;14;96,8;957,6;26,3;null;null;
2019-03-31;16;151,2;958,4;26,1;null;null;
2019-04-30;6;51,4;958,6;25,8;4,6;1,5;
2019-05-31;2;1;959,3;25,4;5,1;1,5;
2019-06-30;null;null;963;23,7;6,3;2;
2019-07-31;null;null;null;null;6,1;null;
2019-08-31;null;null;null;null;7;null;
2019-09-30;null;null;null;27,2;7,6;null;
2019-10-31;4;39,4;957,5;28,2;7,1;2,4;
