Nome: SILVA JARDIM
Codigo Estacao: A659
Latitude: -22.64583333
Longitude: -42.41555555
Altitude: 19
Situacao: Operante
Data Inicial: 2015-08-27
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;15;126;1012,8;22,9;5,6;1,3;
2015-10-31;14;75,4;1013,7;23,7;5,9;1,6;
2015-11-30;18;210,4;1010;25,1;6,5;1,4;
2015-12-31;14;103,4;1011;26,8;5,5;1,5;
2016-01-31;19;385;1009,9;25,9;4,8;1,3;
2016-02-29;13;214,2;1011;27;5;1,3;
2016-03-31;16;395,2;1012,9;26;5,4;1,1;
2016-04-30;5;43,2;1012,8;25,1;5,4;1,1;
2016-05-31;11;46,2;1016,3;21,6;5;1,1;
2016-06-30;13;52,4;1019;19,1;4,3;1,1;
2016-07-31;7;4,8;1017,8;20,1;5,3;1,2;
2016-08-31;10;12,2;1016,4;20,9;6,9;1,5;
2016-09-30;10;53,6;1016;22,1;5,5;1,5;
2016-10-31;17;86,2;1013,4;23;6,9;1,8;
2016-11-30;16;278;1011,6;23,7;6,1;1,8;
2016-12-31;16;178;1010,5;25,5;6,3;1,4;
2017-01-31;12;245,4;1010,3;27,1;5,4;1,4;
2017-02-28;12;104;1011,3;26,8;5,6;1,7;
2017-03-31;4;null;null;null;4,9;null;
2017-04-30;12;null;null;22,3;4,7;null;
2017-05-31;15;89,4;1015,5;21,1;5,3;1,3;
2017-06-30;18;96,8;1017,8;20,4;4,3;,9;
2017-07-31;16;38;1023,6;18,8;5,4;1,3;
2017-08-31;14;51,6;1017,8;19,5;6,2;1,3;
2017-09-30;2;3,6;1018,2;22,1;6,2;2;
2017-10-31;11;65,6;1012,5;24,3;5,7;1,7;
2017-11-30;14;148,4;1011;23,6;5,8;1,6;
2017-12-31;17;113,2;1009,9;25,1;5;1,4;
2018-01-31;15;220,4;1010,1;26,2;5;1,3;
2018-02-28;15;null;null;25,4;4,2;null;
2018-03-31;8;null;null;25,9;4,7;null;
2018-04-30;14;129,8;1015,6;23,6;3,6;1;
2018-05-31;14;90;null;21,2;6;1;
2018-06-30;16;24;1017,6;20,5;4,1;,9;
2018-07-31;15;27,6;1017,3;20,5;4,8;,9;
2018-08-31;16;87,6;null;20,2;4,8;1,1;
2018-09-30;10;53,4;null;22,2;5,6;1,3;
2018-10-31;18;152;null;23,2;5,1;1,5;
2018-11-30;13;293,8;1012,4;24,1;5,1;1,6;
2018-12-31;17;207,8;1011,1;25,3;5,9;1,3;
2019-01-31;7;45,8;1011,7;27,9;5,1;1,4;
2019-02-28;15;279;1010;26,4;4,6;1,1;
2019-03-31;20;249,6;1012,4;25,6;4,7;1,1;
2019-04-30;14;188,2;1012;24,8;5,7;1;
2019-05-31;14;252,6;1013,6;23,2;3,7;1;
2019-06-30;17;37,6;1018,2;21,5;4,2;,9;
2019-07-31;10;39;1018,1;19,4;4,7;1,2;
2019-08-31;17;54,8;1020,4;19,7;6;1,2;
2019-09-30;13;126,6;1015,9;22;5,1;1,5;
2019-10-31;13;59;1013,1;23,9;5,8;1,5;
2019-11-30;17;212,6;1011,5;23,7;5,4;1,6;
2019-12-31;14;176,4;1010,9;25,1;7,3;1,5;
2020-01-31;16;347,8;1009,1;25,7;4,8;1,1;
2020-02-29;18;424,8;1011,2;25,4;4,4;1,2;
2020-03-31;14;386,6;null;24,1;4,4;1,2;
2020-04-30;12;64,8;null;22,8;4,3;1,1;
2020-05-31;17;106,6;null;20,2;5,2;1;
2020-06-30;15;33;null;20,9;4,5;1;
2020-07-31;9;38,6;1017,3;20,3;4,8;1;
2020-08-31;9;74,2;1018,3;20,5;5,6;1,3;
2020-09-30;5;170,2;1014,9;23,6;4,4;1,3;
