Nome: OBIDOS
Codigo Estacao: A232
Latitude: -1.88083332
Longitude: -55.51972221
Altitude: 89.64
Situacao: Operante
Data Inicial: 2012-07-04
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-07-31;11;null;1002,2;26,2;4,6;1;
2012-08-31;3;11,6;1002,2;27,4;4,7;1,3;
2012-09-30;7;49,6;1001,8;27,6;4;1,3;
2012-10-31;7;50,4;999,4;28;4,7;1,2;
2012-11-30;8;43,6;998,6;28,6;4,2;1,2;
2012-12-31;21;264,6;999,1;26,3;4,6;1;
2013-01-31;26;318,2;1000,6;25,9;3,5;,7;
2013-02-28;23;332,4;999,8;25,6;4,3;,7;
2013-03-31;27;363,4;1000,5;25,8;4,3;,7;
2013-04-30;27;252;1001,1;25,8;3,7;,7;
2013-05-31;24;179;1001,5;25,8;4,2;,8;
2013-06-30;13;64,8;1001,8;26,2;4,2;1;
2013-07-31;17;163,4;1002,9;25,5;8,3;,7;
2013-08-31;13;100,8;1001,4;26,3;3,1;,6;
2013-09-30;12;59,2;1001;26,7;4,6;,3;
2013-10-31;8;48,6;1000,1;27,4;3,1;,3;
2013-11-30;11;153,2;998,6;26,8;3,7;,3;
2013-12-31;15;79,6;999,5;26,8;3,1;,1;
2014-01-31;21;196,6;1000,6;25,8;,3;0;
2014-02-28;26;141;1000;25,2;,7;0;
2014-03-31;null;null;1000,7;25,4;,1;0;
2014-04-30;null;null;1001,1;25,6;,1;0;
2014-05-31;null;null;1001,3;25,7;,1;0;
2014-06-30;19;105,6;1001,8;25,8;,1;0;
2014-07-31;null;null;1003,4;26;0;0;
2014-08-31;3;null;1002,2;27,1;0;0;
2014-09-30;8;41,4;1001,3;27,3;0;0;
2014-10-31;11;68,4;1000,3;27,4;,3;0;
2014-11-30;8;71,4;999,2;27,7;0;0;
2014-12-31;8;78,4;999,5;27,8;0;0;
2015-01-31;24;226;1001,1;25,8;0;0;
2015-02-28;null;null;1001;25,5;0;0;
2015-03-31;30;82,4;1001,1;25,2;0;0;
2015-04-30;30;63;1001,2;25,5;0;0;
2015-05-31;null;null;1001,6;25,7;0;0;
2015-06-30;null;null;1002,7;25,9;0;0;
2015-07-31;null;null;1002,5;25,9;0;0;
2015-08-31;null;null;1001,4;27,2;0;0;
2015-09-30;2;14,2;1000,7;28,5;0;0;
2015-10-31;4;null;1000,1;29,3;0;0;
2015-11-30;3;null;null;null;0;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;16;67;1003,3;26,4;0;0;
2016-07-31;12;59,6;1002,5;26,6;0;0;
2016-08-31;5;36,2;1001,9;27,6;0;0;
2016-09-30;15;35;1002,3;27,4;0;0;
2016-10-31;16;36,4;1005,5;28;0;0;
2016-11-30;13;43,8;1004,3;27,9;0;0;
2016-12-31;5;null;999,6;null;0;0;
2017-01-31;null;null;null;null;0;null;
2017-02-28;4;null;1000,9;null;0;0;
2017-03-31;5;null;1001,1;null;0;0;
2017-04-30;9;null;1000,9;null;0;0;
2017-05-31;4;null;1001,3;null;0;0;
2017-06-30;3;null;1001,8;null;0;0;
2017-07-31;2;null;1003,5;26,7;0;0;
2017-08-31;null;null;1001,5;null;0;0;
2017-09-30;null;null;1000,8;null;0;0;
2017-10-31;3;null;999,5;null;0;0;
2017-11-30;1;null;998,3;null;0;0;
2017-12-31;5;null;999,4;null;0;0;
2018-01-31;null;null;null;null;0;null;
2018-02-28;null;null;null;null;0;null;
2018-03-31;null;null;null;null;0;null;
2018-04-30;20;430;1001,7;25,4;0;0;
2018-05-31;16;135,6;1001,9;26,1;0;0;
2018-06-30;13;22,8;1002,7;25,9;0;0;
2018-07-31;8;21,2;1002,6;26;0;0;
2018-08-31;null;null;1002,7;26,9;0;0;
2018-09-30;8;46,4;1000,3;27,1;0;0;
2018-10-31;3;9,2;999,4;28,4;0;0;
2018-11-30;14;106;998,9;27,6;0;0;
2018-12-31;24;244,4;1001,4;25,5;0;0;
2019-01-31;21;243,8;1001,7;25,3;0;0;
2019-02-28;24;403,6;1001,2;25,4;0;0;
2019-03-31;24;261,4;1001,5;25,6;0;0;
2019-04-30;26;320,2;1001,3;25,8;0;0;
2019-05-31;24;99,6;1001,1;25,8;0;0;
2019-06-30;15;39;1002,5;26,1;0;0;
2019-07-31;7;10,8;1002,6;26,3;0;0;
2019-08-31;6;44;1003;26,8;0;0;
2019-09-30;5;13,8;1001,1;27,8;0;0;
2019-10-31;16;58,6;1000;26,8;0;0;
2019-11-30;13;124,4;998,9;26,7;0;0;
2019-12-31;23;261,4;999,5;26,1;0;0;
2020-01-31;20;141,2;1001,1;25,7;0;0;
2020-02-29;24;268,2;1001,3;25,3;0;0;
2020-03-31;19;383;1001;25,8;0;0;
2020-04-30;27;308,6;1001,9;25,1;0;0;
2020-05-31;25;214,6;1002,1;25,8;0;0;
2020-06-30;15;69,8;1002;25,7;0;0;
2020-07-31;2;4,8;1001,5;26,5;0;0;
2020-08-31;5;61,2;1001,2;27,1;0;0;
2020-09-30;4;32,6;1000,5;27,5;0;0;
2020-10-31;5;39,6;999,8;27,6;0;0;
2020-11-30;15;134,6;999,8;26,2;0;0;
2020-12-31;18;98,2;999,8;25,7;0;0;
2021-01-31;22;238,2;999,9;24,8;0;0;
2021-02-28;22;443,6;1000,2;24,8;0;0;
2021-03-31;26;326,4;1000,7;24,4;0;0;
2021-04-30;3;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;11;null;1001,8;25,1;null;null;
2022-07-31;15;105,2;1001,8;25,7;null;null;
2022-08-31;7;25,2;1001,5;26,5;null;null;
2022-09-30;6;15,2;1000,6;27,5;null;null;
2022-10-31;17;120;999,8;26,6;null;null;
2022-11-30;12;260,2;999,9;25,9;null;null;
2022-12-31;23;269,8;999,7;25,1;null;null;
2023-01-31;25;270,6;1001,1;24,4;null;null;
2023-02-28;26;444,4;1000,9;24,4;null;null;
2023-03-31;23;380,8;1001,1;24,8;null;null;
2023-04-30;25;127,8;1000,5;25,1;null;null;
2023-05-31;25;295,8;1001,4;25,4;null;null;
2023-06-30;null;null;1002,6;25,7;null;null;
2023-07-31;2;null;1002,6;26,1;null;null;
2023-08-31;3;7,4;1001,3;27,5;null;null;
2023-09-30;5;24,6;1000,4;28;null;null;
2023-10-31;3;13,4;999,2;28,9;null;null;
2023-11-30;10;116;999;28,3;null;null;
2023-12-31;7;68,4;999,4;27,6;null;null;
2024-01-31;26;354,8;1001,3;26,1;null;null;
2024-02-29;19;199,6;1001,2;26,3;null;null;
2024-03-31;23;344,4;1000,9;25,6;null;null;
2024-04-30;26;405,6;1000,6;25,5;null;null;
2024-05-31;24;301,6;1000,8;26;null;null;
2024-06-30;12;80,4;1001,8;26;null;null;
2024-07-31;3;null;null;null;null;null;

