Nome: DRACENA
Codigo Estacao: A762
Latitude: -21.45777777
Longitude: -51.55222222
Altitude: 383
Situacao: Pane
Data Inicial: 2016-11-02
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;6;null;null;25,6;8,4;null;
2016-12-31;15;222,4;967,6;25,7;10,6;3,1;
2017-01-31;25;335,6;968,4;25,1;8,9;null;
2017-02-28;10;47,2;967,9;26,7;7,4;2,5;
2017-03-31;17;170,4;968,9;25,6;10,6;2,6;
2017-04-30;9;190,4;970,4;23,4;null;null;
2017-05-31;12;117,8;971,1;22,8;null;null;
2017-06-30;7;65,8;973,9;20;8,2;3;
2017-07-31;0;0;977,2;19,8;9;3,6;
2017-08-31;6;123;971,9;22,2;9,4;3,5;
2017-09-30;2;10,4;971,4;25,9;9;3,6;
2017-10-31;13;218,6;968,2;24,8;8,9;3,4;
2017-11-30;13;255,6;966,7;24,7;12,8;3,2;
2017-12-31;17;238,2;966,6;25,7;9;2,6;
2018-01-31;18;188,2;967,7;25,6;10;2,9;
2018-02-28;11;201,6;967,7;25,1;7,3;2,8;
2018-03-31;10;115,2;967,6;26,5;11,2;2,3;
2018-04-30;4;31,4;971,4;25;7,7;2,7;
2018-05-31;4;18;972,8;22,3;9,3;2,9;
2018-06-30;2;48,2;973,7;21,5;6,8;2,7;
2018-07-31;0;0;973,3;22;7,4;2,9;
2018-08-31;8;46,8;973,6;20,1;7,4;3,2;
2018-09-30;13;62,6;969,4;23,5;9;3,2;
2018-10-31;11;207,4;968,1;25,3;13,4;3,1;
2018-11-30;11;160,8;967,4;25,3;9,7;3,6;
2018-12-31;14;100;968,1;26,6;9,6;2,5;
2019-01-31;11;121,8;969,6;27,4;7,9;2,5;
