Nome: CURACA
Codigo Estacao: A448
Latitude: -9.00138888
Longitude: -39.9125
Altitude: 370
Situacao: Pane
Data Inicial: 2015-08-19
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;0;0;972,9;27,7;7,4;3,5;
2015-10-31;0;0;972,2;28,7;7;3,6;
2015-11-30;0;0;969,5;30,6;7,2;3,2;
2015-12-31;3;5;971,3;30;9,7;3,7;
2016-01-31;15;297,2;971;27,1;6,1;2,3;
2016-02-29;6;41;971,7;27,3;8,6;2,6;
2016-03-31;3;20,2;971,5;29,3;7,6;3;
2016-04-30;2;12,4;971,3;28,6;6,2;3,2;
2016-05-31;5;24,8;973,4;27,2;5,9;3;
2016-06-30;2;2,4;975,1;25,8;6,1;3,1;
2016-07-31;3;3,2;975,2;25,2;7,1;3,4;
2016-08-31;1;,2;974,6;25,9;6,4;3,4;
2016-09-30;1;,8;973,5;27,5;6,5;3,6;
2016-10-31;0;0;971;28,9;7,2;3,7;
2016-11-30;4;3,4;969,9;29,4;7,3;3,5;
2016-12-31;5;11,8;969,9;29,4;6,9;3,3;
2017-01-31;1;,2;970,3;29,7;7,7;3,4;
2017-02-28;6;42;970,1;29,1;8,1;3;
2017-03-31;2;13,8;970,1;29,3;6,6;2,9;
2017-04-30;2;null;null;null;7;null;
2017-05-31;null;null;null;null;6,5;null;
2017-06-30;null;null;null;null;6,5;null;
2017-07-31;2;null;null;null;7,4;null;
2017-08-31;2;null;null;null;7,1;null;
2017-09-30;9;28,4;975,2;24,9;7,2;4,2;
2017-10-31;0;0;971,9;27,7;7,2;4,1;
2017-11-30;3;3,2;969,5;29,3;7,7;3,4;
2017-12-31;6;27,2;969,5;29,4;7,2;3,2;
2018-01-31;9;92,4;970,2;28,1;10,8;3,1;
2018-02-28;12;99,4;969,9;27,3;6;2,4;
2018-03-31;9;29,4;970,2;28;5,8;2,5;
2018-04-30;7;137;971,8;26,5;5,5;2,5;
2018-05-31;4;22,4;973,1;26;6,4;3;
2018-06-30;1;1,2;974,8;25,4;6,7;3,3;
2018-07-31;1;4,4;975,1;24,8;6,3;3,3;
2018-08-31;1;,2;974,9;26;6,6;3,5;
2018-09-30;0;0;972,2;27,5;7;3,8;
2018-10-31;3;15,6;970,7;28,8;7,2;3,3;
2018-11-30;4;8,8;970,1;29,1;8,1;3,7;
2018-12-31;13;121,4;971,5;26,7;6,8;2,5;
2019-01-31;0;0;971,8;28,8;7,4;3,3;
2019-02-28;null;null;970,4;28,6;6,6;2,5;
2019-03-31;null;null;971,1;27,6;9,9;2,3;
2019-04-30;null;null;971,1;28;5,6;2,3;
2019-05-31;1;,8;971,6;27,5;6,2;2,6;
2019-06-30;1;,2;974,9;25,2;6,5;3,2;
2019-07-31;0;0;975;24,7;6,3;3,3;
2019-08-31;0;0;976,3;24,9;8;3,6;
2019-09-30;0;0;973,6;27,1;7,4;3,6;
2019-10-31;0;0;971,3;28,5;8,4;3,7;
2019-11-30;0;0;969,3;29,6;7,2;3,2;
2019-12-31;null;null;969,7;29,7;7,8;3,4;
2020-01-31;null;null;970,5;28,3;7,2;2,3;
2020-02-29;null;null;971;27,5;6,5;2,2;
2020-03-31;null;null;970,8;27,1;6,7;2;
2020-04-30;null;null;971,8;26,5;5,7;2,2;
2020-05-31;null;null;973,3;25,6;5,7;2,5;
2020-06-30;null;null;974,3;24,3;6,4;2,8;
2020-07-31;null;null;974,5;24,1;7,2;3,2;
2020-08-31;null;null;974,5;25;7,4;3,5;
2020-09-30;null;null;973,4;26,7;6,9;3,6;
2020-10-31;null;null;970,7;29,3;6,9;3,2;
2020-11-30;null;null;970,6;27,4;6;2,9;
2020-12-31;null;null;970,4;28,6;6,5;3,1;
