Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61055555
Longitude: -72.6811111
Altitude: 220
Situacao: Operante
Data Inicial: 2015-05-13
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-05-31;7;null;null;24,9;3,4;null;
2015-06-30;12;82,4;989,4;25,2;5,3;,9;
2015-07-31;13;80,8;989;25,4;3,6;,8;
2015-08-31;8;71,4;987,8;26,4;6,5;,9;
2015-09-30;17;90,6;986,8;26,6;5,1;,9;
2015-10-31;12;130,6;986,8;26,6;7,6;1;
2015-11-30;17;193,6;985,1;26,6;4;1,1;
2015-12-31;23;348;986,8;25,8;8,7;1;
2016-01-31;22;286;985,6;26,7;5,6;,9;
2016-02-29;24;246;986,4;25,9;4,9;,9;
2016-03-31;28;286;987,5;26;4,7;1;
2016-04-30;19;176;987;26;5,5;,9;
2016-05-31;18;126,8;989;25,5;4;,9;
2016-06-30;13;60,8;990,6;24,5;3,5;1,1;
2016-07-31;6;32,4;989,2;25,6;3,5;,8;
2016-08-31;8;129,8;988,5;25,9;6,5;1;
2016-09-30;10;86,4;988,8;25,7;5,6;1;
2016-10-31;19;199,2;986;26;5,4;1;
2016-11-30;16;170;984,8;26,3;5,3;1,1;
2016-12-31;21;245,4;985,7;25,6;5;1,1;
2017-01-31;30;414,8;986,7;24,8;5;1;
2017-02-28;23;161,6;986,2;25,3;4,5;1,1;
2017-03-31;21;307,6;986,5;25,7;4,9;1;
2017-04-30;17;null;null;25,6;5,5;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;12;122;987,8;25,8;3,5;,8;
2017-10-31;12;212,4;986,2;25,9;5,3;1,1;
2017-11-30;19;116;984,7;25,9;6,1;1;
2017-12-31;23;208;985,3;25,5;3,8;1;
2018-01-31;23;267,4;986;25,2;3,9;1;
2018-02-28;17;null;985,6;25,6;4;,9;
2018-03-31;24;235,4;986,2;25,3;4,6;,9;
2018-04-30;23;247,2;987,6;25,1;5,5;,9;
2018-05-31;18;168,4;988,5;24,8;3,7;,8;
2018-06-30;3;null;null;23,4;4;null;
2018-07-31;1;null;null;null;3,8;null;
2018-08-31;14;87,8;989,8;24,6;4,9;1;
2018-09-30;10;35,2;986,5;26;4,3;,9;
2018-10-31;20;228,8;985,9;26;4,4;1;
2018-11-30;25;403;985;25,7;4,3;,9;
2018-12-31;25;191;987,3;25;4,2;1;
2019-01-31;28;358,6;987,4;24,9;4,5;,8;
2019-02-28;26;386,8;986,9;25,1;4,1;,8;
2019-03-31;28;415,6;987;25,5;4,7;,8;
2019-04-30;18;228,4;987;25,7;4,1;,8;
2019-05-31;10;94,6;987,6;25,7;3,5;,8;
2019-06-30;8;null;null;null;3,3;null;
2019-07-31;3;null;null;null;5,2;null;
2019-08-31;7;null;989,9;25;5,4;,8;
2019-09-30;15;216,4;987,7;26;5,4;,8;
2019-10-31;22;193,8;986,8;25,1;4,9;,8;
2019-11-30;22;317,4;985,1;25,6;6,1;,8;
2019-12-31;24;325,6;985,8;25,3;5;,8;
2020-01-31;16;207,8;986,4;26,1;4,3;1;
2020-02-29;18;87,8;986,7;25,9;3,7;,8;
2020-03-31;23;336,2;986,5;25,6;4;,7;
2020-04-30;18;116,8;988,2;25,6;4,1;,9;
2020-05-31;4;null;null;null;3,9;null;
2020-06-30;null;null;null;null;4,1;null;
2020-07-31;null;null;null;null;3,9;null;
2020-08-31;null;null;null;null;4;null;
2020-09-30;null;null;null;null;5,7;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;
2023-11-30;null;null;null;null;null;null;
2023-12-31;14;null;null;25,9;4,3;null;
2024-01-31;23;344,4;986,9;26,2;3,7;,8;
2024-02-29;25;374,8;986,8;25,9;4,2;,8;
2024-03-31;17;281,4;986,6;26,5;3,7;,8;
2024-04-30;19;238,6;986,4;26,7;4,8;,8;
2024-05-31;13;114,4;988,1;25,1;3,8;1;
2024-06-30;6;69,4;988,4;25,9;2,8;,6;
2024-07-31;4;null;null;null;3,8;null;

