Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2015-08-13
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;1;,2;976,6;28,8;7,3;2,3;
2015-10-31;3;23,8;976,3;29,2;8,8;2,4;
2015-11-30;19;175,6;975,6;27,4;9,6;2,1;
2015-12-31;17;101,4;977;27,5;9,7;2,2;
2016-01-31;28;330;977,3;25,2;8,1;2;
2016-02-29;13;83,2;977,1;26,9;5,2;1,8;
2016-03-31;20;161,8;977,9;26,8;null;null;
2016-04-30;7;11,4;977;27,2;null;null;
2016-05-31;3;2,4;978,7;27,1;null;null;
2016-06-30;2;19,8;980,3;26,2;null;null;
2016-07-31;0;0;979,8;25,9;null;null;
2016-08-31;0;0;978,4;28,1;8,5;null;
2016-09-30;4;11;977,7;28,6;8,9;null;
2016-10-31;8;null;976;27,8;10,5;null;
2016-11-30;15;78,6;975,4;27,7;6,9;2,2;
2016-12-31;22;255;976,3;26,1;null;null;
2017-01-31;18;157,8;976,9;25,2;null;null;
2017-02-28;16;131,6;977,3;24,5;null;null;
2017-03-31;7;null;null;25,8;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;2;null;null;null;null;null;
2017-06-30;0;0;979,4;25,1;7,4;2,4;
2017-07-31;0;0;982,2;23,6;7,7;3,2;
2017-08-31;0;0;978,3;26,9;8;2,4;
2017-09-30;0;0;978,3;28,7;8,4;3,2;
2017-10-31;6;56,4;975,4;29,7;7;2,4;
2017-11-30;19;197,8;975,6;26,3;9,1;2,2;
2017-12-31;23;293,2;976,3;25,3;10,7;2;
2018-01-31;22;158,4;976,8;24,7;7;1,7;
2018-02-28;26;358,4;976,8;24,8;8,3;1,8;
2018-03-31;25;358;977;25,5;9,3;1,9;
2018-04-30;17;106,8;978,2;25;8,8;1,9;
2018-05-31;5;4,2;978,9;25,4;7;2,1;
2018-06-30;0;0;980,2;24,5;5,9;2,2;
2018-07-31;0;0;980;24,5;6,6;2,4;
2018-08-31;2;5,4;979,2;27;6,7;2,5;
2018-09-30;null;null;976,2;28,3;7,1;2,1;
2018-10-31;null;null;976,1;27,2;9,4;2,2;
2018-11-30;12;null;976;26;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;10;null;null;null;9,1;null;
2019-03-31;20;475,6;977,9;25,2;8;1,9;
2019-04-30;17;175,8;977,6;25,8;12,5;1,6;
2019-05-31;8;50,4;977,6;26,3;5;1,7;
2019-06-30;0;0;980,2;24,9;6,6;2,4;
2019-07-31;0;0;980,1;24,8;7,2;2,5;
2019-08-31;null;0;980,3;26,4;7,5;2,6;
2019-09-30;1;36,8;977,2;28,9;8,5;2,5;
2019-10-31;10;185,4;976,2;27,2;11,3;2,2;
2019-11-30;15;215,4;975,5;26,6;10,6;2,1;
2019-12-31;13;143,4;975,8;26,2;10;1,8;
2020-01-31;19;349,8;977,3;25,4;8,6;1,9;
2020-02-29;18;219,2;977,7;25,8;7,4;1,9;
2020-03-31;19;232,4;977,6;25,5;7,6;1,9;
2020-04-30;18;256;978,4;25,6;6,1;1,8;
2020-05-31;3;15,4;979,4;25,3;5,7;2;
2020-06-30;0;0;980;24,6;7,4;2,3;
2020-07-31;0;0;979,7;24,4;null;null;
2020-08-31;0;0;978,8;26,3;null;null;
2020-09-30;1;,6;977,3;28,3;null;null;
2020-10-31;7;64,2;975,8;28,3;null;null;
2020-11-30;11;102,6;976,3;26,7;null;null;
2020-12-31;17;294,8;976,3;26,1;null;null;
2021-01-31;11;null;976,3;25,7;null;null;
2021-02-28;24;326;976,8;24,2;null;null;
2021-03-31;8;28;977;25,6;null;null;
2021-04-30;null;null;977,3;25,7;null;null;
2021-05-31;null;0;978,8;25;null;null;
2021-06-30;0;0;979,2;24,8;null;null;
2021-07-31;0;0;980,4;24,5;null;null;
2021-08-31;0;0;979,1;26,4;null;null;
2021-09-30;null;null;null;null;6;null;
2021-10-31;null;null;null;null;9,2;null;
2021-11-30;null;null;null;null;6,4;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;976,8;26,2;6,7;1,7;
2022-05-31;null;null;978,9;24,8;6,8;null;
2022-06-30;null;null;978,7;24,8;5,7;null;
2022-07-31;null;null;979,8;24,6;7;2,5;
2022-08-31;null;null;978,7;26,6;7,4;2,7;
2022-09-30;3;71,8;977,2;28;7,6;2,4;
2022-10-31;6;null;976;28;11,9;2,2;
2022-11-30;10;null;976,4;25,1;11,1;2,5;
2022-12-31;18;null;976,4;24,3;6,4;1,8;
2023-01-31;9;null;977,6;24,6;7,4;1,7;
2023-02-28;9;null;977,2;null;8,4;1,8;
2023-03-31;16;null;977,6;24,9;8,5;1,8;
2023-04-30;10;59,2;977;25,6;6,8;1,6;
2023-05-31;2;null;978,5;25,8;6;1,8;
2023-06-30;null;null;980;25,3;6,1;null;
2023-07-31;null;null;980,4;25,7;7,2;null;
2023-08-31;1;11,8;978,5;27,3;9,2;2,4;
2023-09-30;4;null;977;29,4;8,7;null;
2023-10-31;5;null;975,8;29,3;9,7;null;
2023-11-30;2;null;975,8;null;9,5;null;
2023-12-31;6;null;976,1;null;9,7;null;
2024-01-31;6;null;977,7;null;6,6;null;
2024-02-29;9;null;978,2;null;7,4;null;
2024-03-31;21;null;977,4;26,7;8;null;
2024-04-30;22;188,4;977,2;26,4;5,6;1,6;
2024-05-31;4;,8;978,2;26,3;5,4;1,8;
2024-06-30;0;0;979,9;25,1;7,6;2,4;
2024-07-31;null;null;null;null;6,2;null;

