Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;6;null;null;null;3,3;null;
2016-12-31;20;165,6;989,4;26;5,1;1,3;
2017-01-31;16;55,8;990;25,9;4,3;1,3;
2017-02-28;20;null;990,4;25,3;5;1,2;
2017-03-31;17;126,8;990,2;26,3;6,3;1,1;
2017-04-30;18;89,4;990,4;26,4;5,3;1,1;
2017-05-31;3;9,2;990,9;26,8;3,9;,9;
2017-06-30;null;0;992,3;24,8;4,6;1,2;
2017-07-31;0;0;994,9;23,3;5,3;1,6;
2017-08-31;null;0;990,9;26,2;4,7;1,3;
2017-09-30;1;null;990,5;27,9;5;1,5;
2017-10-31;1;82,6;988,4;28,8;5,3;1,5;
2017-11-30;22;163,8;988,6;26,3;5,6;1,3;
2017-12-31;27;446,6;989,4;25,6;5,2;1,2;
2018-01-31;23;157,8;989,8;25,7;6,1;1,2;
2018-02-28;25;426;989,9;25,3;4,7;1,2;
2018-03-31;22;299,6;990;26,1;3,7;1,1;
2018-04-30;16;190;991,1;26,1;4,7;1,1;
2018-05-31;4;16;991,8;26,2;5;1,1;
2018-06-30;null;0;992,9;24,6;3,9;1;
2018-07-31;0;0;992,8;24,1;3,9;1,1;
2018-08-31;0;0;992;26,2;5,1;1,2;
2018-09-30;1;null;989,3;27,1;5;1,2;
2018-10-31;null;null;null;null;3,9;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;9;null;null;null;4;null;
2019-03-31;25;343,2;991;25,8;5,1;1,1;
2019-04-30;11;null;null;26,5;3,8;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;0;993,2;24,4;4,4;1,3;
2019-08-31;null;null;null;25,2;5;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;8;null;null;26,2;6,1;null;
2019-11-30;18;236,8;988,7;26,1;6;1,2;
2019-12-31;17;247,8;989;26,3;7,3;1,2;
2020-01-31;21;371;990,4;26;4,6;1,2;
2020-02-29;20;355,8;990,8;25,9;4,3;1,1;
2020-03-31;20;236;990,6;25,8;4,2;1,1;
2020-04-30;14;313,6;991,4;26,6;3,8;1,1;
2020-05-31;7;16,4;992,3;26,4;3,9;1,1;
2020-06-30;5;1;992,7;24,9;5;1,2;
2020-07-31;4;,8;992,4;23,8;4,4;1,2;
2020-08-31;0;0;991,4;25,5;5,1;1,3;
2020-09-30;2;25,4;990;27,2;4,6;1,3;
2020-10-31;6;45,6;988,8;27,8;5,8;1,3;
2020-11-30;10;116,4;989,2;26,8;4,1;1,2;
2020-12-31;22;292,4;989,4;26,1;4,9;1,1;
2021-01-31;14;null;989,5;25,8;4,4;1,1;
2021-02-28;14;347,8;989,8;25,1;4,1;1,2;
2021-03-31;19;159,6;990,2;25,7;4,5;1,1;
2021-04-30;18;180,8;990,3;25,9;4,1;1,1;
2021-05-31;10;15;991,7;25,5;4;,9;
2021-06-30;1;,2;992,1;24,7;3,5;1;
2021-07-31;0;0;993,3;23,8;4,2;1,2;
2021-08-31;1;,2;991,7;25,2;4,5;1,3;
2021-09-30;4;12,2;990;27,6;5,7;1,2;
2021-10-31;5;null;989,4;26,9;6;1,2;
2021-11-30;16;null;989,3;25,4;3,9;1,2;
2021-12-31;11;null;null;null;7,4;null;
2022-01-31;2;null;null;null;4,4;null;
2022-02-28;null;null;null;null;3,9;null;
2022-03-31;null;null;null;null;3;null;
2022-04-30;null;null;null;null;3,4;null;
2022-05-31;null;null;null;null;4;null;
2022-06-30;null;null;null;null;4,2;null;
2022-07-31;1;3,6;992,5;24;4,6;1,2;
2022-08-31;0;0;991,4;25,6;5,3;1,3;
2022-09-30;6;97,2;990;27;4,8;1,2;
2022-10-31;8;106,8;989;27;6,9;1,2;
2022-11-30;13;null;989,4;25,5;4,4;1,4;
2022-12-31;22;336,8;989,4;25,2;4,9;1,1;
2023-01-31;18;161,2;990,7;25,3;6,2;1,1;
2023-02-28;15;null;990,3;26,5;5,8;1,2;
2023-03-31;19;291,2;990,7;25,6;6,3;1,2;
