Nome: MIRANDA
Codigo Estacao: A722
Latitude: -20.39555555
Longitude: -56.43166666
Altitude: 132.49
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;158,8;993,5;27,1;6,5;1,2;
2010-02-28;13;117,4;993,8;27,7;5,2;,9;
2010-03-31;8;88,6;994,2;27,4;6,6;,8;
2010-04-30;6;66;997,4;24,9;4,3;,9;
2010-05-31;11;60,2;999,1;20,1;3,7;,6;
2010-06-30;1;5,8;1000,1;21,5;4,9;,5;
2010-07-31;2;15,4;999,1;21,4;5,9;,9;
2010-08-31;null;0;999,4;22,1;5,3;,8;
2010-09-30;7;55,2;995,3;25,6;6,4;,9;
2010-10-31;7;99,4;995;25;6,9;1,2;
2010-11-30;9;245;993,3;24,9;9,5;,9;
2010-12-31;9;121;990,9;27,6;6,2;1,1;
2011-01-31;12;null;null;26,4;4,4;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;3;15,4;999,1;20,4;4,1;,6;
2011-07-31;7;22,2;998,7;21,3;5,4;,8;
2011-08-31;2;11,4;998,4;22,8;6,2;1,2;
2011-09-30;5;73,4;997,8;25,4;5,7;1,1;
2011-10-31;8;139,6;993,7;26,6;7,4;1;
2011-11-30;5;76,6;993,4;26,7;6,5;1;
2011-12-31;10;96;993;27,2;4,5;1;
2012-01-31;10;157;993,1;26,8;5,4;1,2;
2012-02-29;14;69,6;994,5;26,9;4,8;1,1;
2012-03-31;10;199;996,2;25,8;5,4;,9;
2012-04-30;10;81;996,1;25,1;4,5;,9;
2012-05-31;11;94,4;998,8;22,2;4,2;,8;
2012-06-30;12;153,2;999,5;20,8;5,8;,9;
2012-07-31;6;13,8;1000,3;19,6;4;1;
2012-08-31;1;4,4;999,9;23,7;6,2;1,2;
2012-09-30;6;87,6;997,2;26;6,7;1,4;
2012-10-31;9;98,8;993,8;27,3;5,2;1,2;
2012-11-30;8;103;992,7;27,7;6;1,2;
2012-12-31;9;228;992,7;28;4,9;1,4;
2013-01-31;9;78;993,7;27,7;5,5;1,1;
2013-02-28;17;101,4;994,3;26,8;6,3;1,2;
2013-03-31;12;177,4;995;26,8;6,1;1,1;
2013-04-30;12;422,8;997,4;24;5,2;1;
2013-05-31;13;86,2;998,2;22,9;5,2;1,1;
2013-06-30;15;230,8;999;21,6;3,3;,8;
2013-07-31;6;41,6;1001,3;20,1;3,8;1;
2013-08-31;1;,8;1000,2;19,8;4,6;1,2;
2013-09-30;5;29;997,3;24,5;5;1,4;
2013-10-31;12;100,2;995,8;26,1;5,5;1,2;
2013-11-30;8;98,8;993,2;27,6;5,3;1,3;
2013-12-31;9;62,6;992;27,8;5,6;1,1;
2014-01-31;13;52,6;995,5;27,2;8,2;1,2;
2014-02-28;17;127,4;994,3;26,9;6,4;1,2;
2014-03-31;13;283,4;995,2;25,9;5,3;1,1;
2014-04-30;7;25,8;996,9;25,5;4,9;1;
2014-05-31;15;273,2;998,7;21,3;4,8;1;
2014-06-30;11;68;999,4;21,6;5,1;1,1;
2014-07-31;13;117,4;1001,5;20,3;8,4;,7;
2014-08-31;5;46,8;999,4;23,1;5,4;,7;
2014-09-30;9;98,6;995,4;26,7;5,1;,8;
2014-10-31;10;12,2;995;28,1;5,9;,9;
2014-11-30;20;168,6;994;25,9;7,5;1;
2014-12-31;23;108,2;993,7;27;5,6;1,2;
2015-01-31;10;13,4;995,9;27,9;4,8;1,1;
2015-02-28;28;10,8;994,6;27;4,7;1;
2015-03-31;12;null;null;null;3,4;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;1;5,8;997,4;24,5;5,1;,7;
2015-09-30;8;185,2;995,2;25,7;5,6;,8;
2015-10-31;10;59,6;995,1;26,7;4,7;,6;
2015-11-30;9;111,2;993,2;27,5;5,1;1,2;
2015-12-31;14;175,2;994,4;27,5;4,9;1,1;
2016-01-31;20;367,2;992,7;27;6,5;1,1;
2016-02-29;18;151,8;995,2;27,4;6;1;
2016-03-31;8;109,8;997,1;26,1;5,4;,9;
2016-04-30;7;51,4;996,7;25,9;5;,9;
2016-05-31;12;116;1000,5;21,3;3,7;,4;
2016-06-30;3;null;1002,8;19,4;3,8;,3;
2016-07-31;2;2,2;1000;20,7;5,1;,6;
2016-08-31;7;66,8;998,6;22,6;5,8;,8;
2016-09-30;7;41,4;999,3;23,2;5,2;,7;
2016-10-31;10;68,8;995,1;26,6;6,1;1;
2016-11-30;10;123,8;994,5;26,3;7,3;,9;
2016-12-31;16;180,4;994;26,7;5,4;1,3;
2017-01-31;13;126,2;994,5;27;5,7;1;
2017-02-28;9;159;994;27,1;9,2;1;
2017-03-31;8;60;995,3;26,9;4,3;1,1;
2017-04-30;12;236,8;997,2;24,4;4,7;1;
2017-05-31;7;null;null;24,4;4,6;null;
2017-06-30;5;null;null;20,6;3,9;null;
2017-07-31;1;1,8;1003,1;20,2;5,8;,7;
2017-08-31;6;41,2;997,6;23,8;6,5;1;
2017-09-30;1;29,6;997;27,4;5;1;
2017-10-31;8;302,8;994,4;26,4;7,1;1,1;
2017-11-30;25;43,4;993;26,1;5,8;1,1;
2017-12-31;10;null;992,9;27,1;4,4;,9;
2018-01-31;null;null;994,1;26,8;5,6;1;
2018-02-28;null;null;null;null;5,9;null;
2018-03-31;2;null;null;null;4,8;null;
2018-04-30;null;null;null;null;4,6;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;1;null;null;null;4,2;null;
2018-07-31;null;null;null;null;4,1;null;
2018-08-31;null;null;null;null;4,6;null;
2018-09-30;null;null;null;null;6,8;null;
2018-10-31;null;null;null;null;4,7;null;
2018-11-30;null;null;null;null;6,1;null;
2018-12-31;null;null;null;null;4,7;null;
2019-01-31;null;null;null;null;4,7;null;
2019-02-28;5;null;null;null;4,8;null;
2019-03-31;12;95;996,4;26,7;5,1;,6;
2019-04-30;9;130,4;996,5;25,6;4,2;,3;
2019-05-31;7;110,6;998,1;23;4,9;,4;
2019-06-30;null;null;null;22,2;4,1;null;
2019-07-31;1;null;1001,6;19,6;6;,4;
2019-08-31;null;null;null;null;null;null;
2019-09-30;2;null;null;26,9;5,6;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;null;6;null;
2020-01-31;null;null;null;null;3,5;,1;
2020-02-29;null;null;null;null;4,5;,6;
2020-03-31;null;null;null;null;1,5;null;
2020-04-30;null;null;null;null;2,5;null;
2020-05-31;null;null;null;null;2,9;null;
2020-06-30;null;null;null;null;4;null;
2020-07-31;null;null;null;null;4,2;null;
2020-08-31;3;null;null;null;null;null;
2020-09-30;3;null;null;null;null;null;
2020-10-31;1;null;null;null;null;null;
2020-11-30;1;null;null;null;null;null;
2020-12-31;4;null;null;null;null;null;
2021-01-31;11;null;null;26,2;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
