Nome: MINA DO PALITO
Codigo Estacao: A246
Latitude: -6.31999999
Longitude: -55.78777777
Altitude: 259.88
Situacao: Pane
Data Inicial: 2010-09-27
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-01-31;null;132,8;980,5;24,8;3,9;,9;
2015-02-28;null;58,2;980,4;24,5;4,1;,9;
2015-03-31;null;371,8;980,3;24,4;2,9;,9;
2015-04-30;null;173;980,5;25,1;3,9;,8;
2015-05-31;null;null;981;25,3;2,8;,9;
2015-06-30;null;null;982,1;25,8;3,5;,9;
2015-07-31;null;null;null;null;4,4;null;
2015-08-31;null;null;null;null;4,1;null;
2015-09-30;null;null;null;null;3,2;null;
2015-10-31;null;null;979,8;27;5,6;1;
2015-11-30;null;null;978,5;26,7;5;,9;
2015-12-31;null;13,4;979,7;26,3;3,7;1;
2016-01-31;null;152,2;979,8;25,4;3,7;1;
2016-02-29;null;null;979,7;26;4,5;1;
2016-03-31;null;null;981;25,3;3,4;,9;
2016-04-30;null;null;979,9;25,9;6,3;1;
2016-05-31;null;null;981,5;26,1;4,8;,9;
2016-06-30;null;null;982,8;26;3,6;1;
2016-07-31;null;null;981,8;27;2,9;1;
2016-08-31;null;43;981,1;27,3;3,6;1;
2016-09-30;null;12,2;981,2;25,7;5;1;
2016-10-31;null;212,8;979,1;26,4;3,9;1;
2016-11-30;null;null;978,3;25,7;3,6;1;
2016-12-31;null;null;979,3;24,6;3;1;
2017-01-31;null;null;null;null;2,7;null;
2017-02-28;null;null;null;null;3,5;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;6,2;980,6;27,5;4;,9;
2017-09-30;null;null;980,1;27,3;3,5;1;
2017-10-31;null;185,4;979;26,3;5,8;1;
2017-11-30;null;259,4;978,2;25,2;4;1;
2017-12-31;null;126;979;24,7;5;,9;
2018-01-31;null;null;979,5;24,5;4,7;1;
2018-02-28;null;null;979,8;24,3;3,8;1;
2018-03-31;null;null;979,7;25,1;4;1;
2018-04-30;null;null;980,7;24,9;5,3;1;
2018-05-31;null;null;981,2;25,4;3,2;1;
2018-06-30;null;1,6;982,1;25,9;3,5;1,1;
2018-07-31;null;null;981,8;26,4;3,7;1;
2018-08-31;null;null;981,9;26;4,5;,9;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;null;null;null;null;null;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;null;null;null;null;null;null;
2019-06-30;null;null;null;26,2;3,5;null;
2019-07-31;null;22,2;981,9;26,5;3,9;,9;
2019-08-31;null;5;982,2;27,2;3,2;,9;
2019-09-30;null;109,2;980,4;26,5;6;1;
2019-10-31;null;109,2;979,6;25,5;3,4;1;
2019-11-30;null;264,8;978,5;25,3;3,7;,9;
2019-12-31;null;186,2;978,9;25,4;3,4;,9;
2020-01-31;26;347,6;980,3;25;4,2;,9;
2020-02-29;25;268,4;980,6;25,2;4,6;,9;
2020-03-31;25;388,4;980,3;25,3;3,1;1;
2020-04-30;26;269,4;981,1;25,3;3,4;,9;
2020-05-31;22;184;981,5;25,9;3,3;,9;
2020-06-30;6;24,6;981,4;26,6;3,3;1;
2020-07-31;2;11;980,8;27;3,3;1;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;
2023-11-30;null;null;null;null;null;null;
2023-12-31;null;null;null;null;null;null;
2024-01-31;null;null;null;null;null;null;
2024-02-29;null;null;null;null;null;null;
2024-03-31;null;null;null;null;null;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

